experiment_id,embedding_model,chunk_size,overlap_proportion,overlap,classifier_type,status,runtime_sec,param_n_estimators,param_max_depth,param_min_samples_leaf,val_best_f1_threshold,val_tp,val_fn,val_fp,val_tn,val_precision,val_recall,val_f1,val_accuracy,val_min_fn_threshold,val_min_fn_fn_count,val_min_fn_recall,val_min_fp_threshold,val_min_fp_fp_count,param_learning_rate,param_batch_size,param_epochs
1,microsoft/codebert-base,512,0.25,128,random_forest_classifier,success,40.72,100,,1,0.671,45,5,2,98,0.9574,0.9000,0.9278,0.9533,0.271,0,1.0000,0.961,0,,,
2,microsoft/codebert-base,512,0.25,128,neural_network_binary_classifier,success,43.64,,,,0.651,48,2,8,92,0.8571,0.9600,0.9057,0.9333,0.314,0,1.0000,0.993,0,0.001,32,100
3,Salesforce/codet5-small,512,0.25,128,random_forest_classifier,success,32.36,100,,1,0.581,46,4,3,97,0.9388,0.9200,0.9293,0.9533,0.301,0,1.0000,0.841,0,,,
4,Salesforce/codet5-small,512,0.25,128,neural_network_binary_classifier,success,37.39,,,,0.849,46,4,7,93,0.8679,0.9200,0.8932,0.9267,0.459,0,1.0000,0.996,0,0.001,32,100
5,Qwen/Qwen2.5-7B-Instruct,32768,0.25,8192,random_forest_classifier,success,4772.00,100,,1,0.401,48,2,6,94,0.8889,0.9600,0.9231,0.9467,0.211,0,1.0000,0.741,0,,,
6,Qwen/Qwen2.5-7B-Instruct,32768,0.25,8192,neural_network_binary_classifier,success,23.27,,,,0.907,49,1,5,95,0.9074,0.9800,0.9423,0.9600,0.814,0,1.0000,0.999,2,0.001,32,100
7,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,3973.45,100,,1,0.421,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.231,0,1.0000,0.751,0,,,
8,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.99,,,,0.113,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.113,0,1.0000,0.996,3,0.001,32,100
9,Qwen/Qwen2.5-7B-Instruct,32768,0.5,16384,random_forest_classifier,success,5998.65,100,,1,0.461,46,4,4,96,0.9200,0.9200,0.9200,0.9467,0.221,0,1.0000,0.761,0,,,
10,Qwen/Qwen2.5-7B-Instruct,32768,0.5,16384,neural_network_binary_classifier,success,22.80,,,,0.881,47,3,6,94,0.8868,0.9400,0.9126,0.9400,0.259,0,1.0000,0.998,2,0.001,32,100
11,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,32.03,100,10,1,0.434,47,3,2,98,0.9592,0.9400,0.9495,0.9667,0.212,0,1.0000,0.751,0,,,
12,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,32.70,100,10,2,0.430,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.277,0,1.0000,0.798,0,,,
13,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,32.03,100,10,5,0.478,45,5,1,99,0.9783,0.9000,0.9375,0.9600,0.195,0,1.0000,0.734,0,,,
14,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,31.64,100,20,1,0.421,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.231,0,1.0000,0.751,0,,,
15,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,31.35,100,20,2,0.407,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.281,0,1.0000,0.767,0,,,
16,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,31.99,100,20,5,0.456,46,4,2,98,0.9583,0.9200,0.9388,0.9600,0.202,0,1.0000,0.738,0,,,
17,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,31.86,100,,1,0.421,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.231,0,1.0000,0.751,0,,,
18,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,31.88,100,,2,0.407,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.281,0,1.0000,0.767,0,,,
19,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,31.27,100,,5,0.456,46,4,2,98,0.9583,0.9200,0.9388,0.9600,0.202,0,1.0000,0.738,0,,,
20,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,52.02,300,10,1,0.448,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.241,0,1.0000,0.715,0,,,
21,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.62,300,10,2,0.425,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.265,0,1.0000,0.762,0,,,
22,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.52,300,10,5,0.438,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.211,0,1.0000,0.758,0,,,
23,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.94,300,20,1,0.451,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.217,0,1.0000,0.727,0,,,
24,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.80,300,20,2,0.432,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.252,0,1.0000,0.734,0,,,
25,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.41,300,20,5,0.449,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.202,0,1.0000,0.755,0,,,
26,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.77,300,,1,0.451,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.217,0,1.0000,0.727,0,,,
27,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.88,300,,2,0.432,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.252,0,1.0000,0.734,0,,,
28,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,51.93,300,,5,0.449,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.202,0,1.0000,0.755,0,,,
29,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,64.84,500,10,1,0.445,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.232,0,1.0000,0.698,0,,,
30,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,65.21,500,10,2,0.441,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.238,0,1.0000,0.732,0,,,
31,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,64.62,500,10,5,0.430,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.212,0,1.0000,0.739,0,,,
32,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,65.34,500,20,1,0.457,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.251,0,1.0000,0.715,0,,,
33,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,64.55,500,20,2,0.442,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.231,0,1.0000,0.712,0,,,
34,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,65.27,500,20,5,0.435,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.204,0,1.0000,0.739,0,,,
35,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,64.85,500,,1,0.457,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.251,0,1.0000,0.715,0,,,
36,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,65.12,500,,2,0.442,47,3,1,99,0.9792,0.9400,0.9592,0.9733,0.231,0,1.0000,0.712,0,,,
37,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,random_forest_classifier,success,64.92,500,,5,0.435,46,4,1,99,0.9787,0.9200,0.9485,0.9667,0.204,0,1.0000,0.739,0,,,
38,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.48,,,,0.565,50,0,7,93,0.8772,1.0000,0.9346,0.9533,0.565,0,1.0000,0.981,0,0.0001,16,50
39,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.28,,,,0.192,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.192,0,1.0000,0.996,0,0.0001,16,100
40,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,25.69,,,,0.115,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.115,0,1.0000,0.997,3,0.0001,16,200
41,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,36.77,,,,0.086,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.086,0,1.0000,0.995,6,0.0001,16,500
42,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.62,,,,0.291,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.291,0,1.0000,0.964,0,0.0001,32,50
43,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.59,,,,0.461,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.461,0,1.0000,0.986,0,0.0001,32,100
44,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.31,,,,0.227,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.227,0,1.0000,0.998,0,0.0001,32,200
45,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,27.62,,,,0.088,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.088,0,1.0000,0.997,5,0.0001,32,500
46,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.24,,,,0.645,46,4,3,97,0.9388,0.9200,0.9293,0.9533,0.342,0,1.0000,0.964,0,0.0001,64,50
47,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.52,,,,0.473,50,0,7,93,0.8772,1.0000,0.9346,0.9533,0.473,0,1.0000,0.969,0,0.0001,64,100
48,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.45,,,,0.301,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.301,0,1.0000,0.993,0,0.0001,64,200
49,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,23.04,,,,0.211,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.211,0,1.0000,0.996,3,0.0001,64,500
50,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.42,,,,0.254,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.254,0,1.0000,0.999,0,0.0005,16,50
51,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.26,,,,0.128,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.128,0,1.0000,0.999,3,0.0005,16,100
52,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,25.95,,,,0.098,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.098,0,1.0000,0.986,6,0.0005,16,200
53,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,37.29,,,,0.020,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.020,0,1.0000,0.999,7,0.0005,16,500
54,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.44,,,,0.561,50,0,8,92,0.8621,1.0000,0.9259,0.9467,0.561,0,1.0000,0.997,0,0.0005,32,50
55,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.31,,,,0.078,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.078,0,1.0000,0.999,1,0.0005,32,100
56,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.14,,,,0.190,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.190,0,1.0000,0.999,4,0.0005,32,200
57,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,27.60,,,,0.125,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.125,0,1.0000,0.998,6,0.0005,32,500
58,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,18.97,,,,0.482,50,0,8,92,0.8621,1.0000,0.9259,0.9467,0.482,0,1.0000,0.990,0,0.0005,64,50
59,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.52,,,,0.285,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.285,0,1.0000,0.999,0,0.0005,64,100
60,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.53,,,,0.157,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.157,0,1.0000,0.999,2,0.0005,64,200
61,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,23.58,,,,0.096,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.096,0,1.0000,0.999,5,0.0005,64,500
62,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.47,,,,0.199,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.199,0,1.0000,0.999,3,0.001,16,50
63,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.09,,,,0.069,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.069,0,1.0000,0.999,4,0.001,16,100
64,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,26.42,,,,0.045,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.045,0,1.0000,0.993,6,0.001,16,200
65,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,36.87,,,,0.007,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.007,0,1.0000,0.007,9,0.001,16,500
66,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.59,,,,0.283,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.283,0,1.0000,0.999,0,0.001,32,50
67,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.38,,,,0.312,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.312,0,1.0000,0.998,3,0.001,32,100
68,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.47,,,,0.078,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.078,0,1.0000,0.999,5,0.001,32,200
69,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,27.55,,,,0.082,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.082,0,1.0000,0.998,6,0.001,32,500
70,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.04,,,,0.357,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.357,0,1.0000,0.998,0,0.001,64,50
71,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.52,,,,0.265,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.265,0,1.0000,0.999,1,0.001,64,100
72,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.43,,,,0.157,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.157,0,1.0000,0.994,4,0.001,64,200
73,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,23.24,,,,0.220,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.220,0,1.0000,0.988,6,0.001,64,500
74,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.51,,,,0.198,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.198,0,1.0000,0.998,4,0.005,16,50
75,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.17,,,,0.144,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.144,0,1.0000,0.998,7,0.005,16,100
76,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,26.62,,,,0.056,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.056,0,1.0000,0.997,7,0.005,16,200
77,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,36.59,,,,0.988,49,1,6,94,0.8909,0.9800,0.9333,0.9533,0.011,0,1.0000,0.988,6,0.005,16,500
78,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.40,,,,0.084,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.084,0,1.0000,0.998,4,0.005,32,50
79,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.37,,,,0.063,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.063,0,1.0000,0.999,4,0.005,32,100
80,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,22.73,,,,0.057,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.057,0,1.0000,0.991,6,0.005,32,200
81,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,27.86,,,,0.078,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.078,0,1.0000,0.998,7,0.005,32,500
82,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,18.94,,,,0.155,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.155,0,1.0000,0.999,3,0.005,64,50
83,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,19.49,,,,0.392,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.392,0,1.0000,0.998,4,0.005,64,100
84,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,20.73,,,,0.062,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.062,0,1.0000,0.995,5,0.005,64,200
85,Qwen/Qwen2.5-7B-Instruct,32768,0.125,4096,neural_network_binary_classifier,success,23.18,,,,0.254,50,0,9,91,0.8475,1.0000,0.9174,0.9400,0.254,0,1.0000,0.997,6,0.005,64,500
